model,precision,recall,F1,AUC
Logistic Regression (C=1.0),0.9106145251396648,0.9588235294117647,0.9340974212034384,0.9842105263157894
Logistic Regression (C=0.01),0.9050279329608939,0.9529411764705882,0.9283667621776505,0.969281045751634
