feature,coefficient,absolute_coefficient
year,5.590646304849464,5.590646304849464
pop,1.995009797084352,1.995009797084352
continent_Europe,1.8002994953606724,1.8002994953606724
iso_num_4,-1.7609263389288894,1.7609263389288894
continent_Americas,0.7489062063396777,0.7489062063396777
gdpPercap,-0.6776842023830286,0.6776842023830286
iso_alpha_SLE,-0.6039108269320119,0.6039108269320119
iso_num_694,-0.6039108269320115,0.6039108269320115
country_Sierra Leone,-0.6039108269320115,0.6039108269320115
iso_num_624,-0.5562867560716823,0.5562867560716823
iso_alpha_GNB,-0.5562867560716822,0.5562867560716822
country_Guinea-Bissau,-0.5562867560716818,0.5562867560716818
iso_alpha_AGO,-0.5396051230310916,0.5396051230310916
country_Angola,-0.5396051230310916,0.5396051230310916
iso_num_24,-0.5396051230310914,0.5396051230310914
iso_num_508,-0.531324781241826,0.531324781241826
iso_alpha_MOZ,-0.531324781241826,0.531324781241826
country_Mozambique,-0.5313247812418249,0.5313247812418249
iso_alpha_ISR,0.5014020044807056,0.5014020044807056
iso_num_376,0.5014020044807056,0.5014020044807056
country_Israel,0.5014020044807046,0.5014020044807046
continent_Oceania,0.5005651535536813,0.5005651535536813
iso_num_646,-0.4971620086954346,0.4971620086954346
iso_alpha_RWA,-0.4971620086954346,0.4971620086954346
country_Rwanda,-0.4971620086954336,0.4971620086954336
iso_num_344,0.48229891246963674,0.48229891246963674
iso_alpha_HKG,0.48229891246963674,0.48229891246963674
"country_Hong Kong, China",0.48229891246963513,0.48229891246963513
iso_alpha_IND,-0.4699369224991494,0.4699369224991494
iso_num_356,-0.4699369224991494,0.4699369224991494
country_India,-0.46993692249914926,0.46993692249914926
iso_num_226,-0.4552229666052634,0.4552229666052634
iso_alpha_GNQ,-0.4552229666052634,0.4552229666052634
country_Equatorial Guinea,-0.4552229666052632,0.4552229666052632
iso_num_706,-0.45311253212535385,0.45311253212535385
iso_alpha_SOM,-0.45311253212535374,0.45311253212535374
country_Somalia,-0.4531125321253524,0.4531125321253524
country_Kuwait,0.44765828392734053,0.44765828392734053
iso_alpha_KWT,0.4476582839273389,0.4476582839273389
iso_num_414,0.44765828392733886,0.44765828392733886
country_Japan,0.4404011009496531,0.4404011009496531
iso_alpha_JPN,0.4404011009496528,0.4404011009496528
iso_num_392,0.4404011009496527,0.4404011009496527
iso_num_752,0.4167712911196232,0.4167712911196232
iso_alpha_SWE,0.4167712911196232,0.4167712911196232
country_Sweden,0.4167712911196229,0.4167712911196229
iso_alpha_NOR,0.41517239823869073,0.41517239823869073
iso_num_578,0.4151723982386907,0.4151723982386907
country_Norway,0.41517239823869034,0.41517239823869034
iso_alpha_ETH,-0.4130893247670132,0.4130893247670132
iso_num_231,-0.4130893247670131,0.4130893247670131
country_Ethiopia,-0.41308932476701266,0.41308932476701266
iso_alpha_NGA,-0.412101817248471,0.412101817248471
iso_num_566,-0.412101817248471,0.412101817248471
country_Nigeria,-0.412101817248468,0.412101817248468
country_Central African Republic,-0.40835596785663686,0.40835596785663686
iso_num_140,-0.4083559678566365,0.4083559678566365
iso_alpha_CAF,-0.4083559678566363,0.4083559678566363
iso_alpha_CAN,0.40752740725404,0.40752740725404
iso_num_124,0.40752740725403985,0.40752740725403985
country_Canada,0.40752740725403663,0.40752740725403663
iso_alpha_GMB,-0.4035086970532419,0.4035086970532419
iso_num_270,-0.40350869705324177,0.40350869705324177
country_Gambia,-0.4035086970532412,0.4035086970532412
country_Netherlands,0.40207785232284277,0.40207785232284277
iso_alpha_NLD,0.4020778523228417,0.4020778523228417
iso_num_528,0.4020778523228416,0.4020778523228416
country_Guinea,-0.3985535138678972,0.3985535138678972
iso_alpha_GIN,-0.3985535138678966,0.3985535138678966
iso_num_324,-0.3985535138678964,0.3985535138678964
country_Singapore,0.39800276893664355,0.39800276893664355
iso_num_702,0.39800276893664344,0.39800276893664344
iso_alpha_SGP,0.3980027689366434,0.3980027689366434
iso_alpha_CHE,0.39566767484509,0.39566767484509
iso_num_756,0.3956676748450899,0.3956676748450899
country_Switzerland,0.3956676748450899,0.3956676748450899
country_Mali,-0.3886168949686977,0.3886168949686977
iso_alpha_MLI,-0.38861689496869734,0.38861689496869734
iso_num_466,-0.38861689496869734,0.38861689496869734
iso_num_562,-0.38400671538195863,0.38400671538195863
iso_alpha_NER,-0.38400671538195863,0.38400671538195863
country_Niger,-0.38400671538195846,0.38400671538195846
iso_num_156,-0.3819663618888741,0.3819663618888741
iso_alpha_CHN,-0.381966361888874,0.381966361888874
country_China,-0.38196636188887,0.38196636188887
iso_alpha_AUT,0.38090898482567603,0.38090898482567603
iso_num_40,0.3809089848256759,0.3809089848256759
country_Austria,0.3809089848256646,0.3809089848256646
country_Belgium,0.3785918071554977,0.3785918071554977
iso_alpha_BEL,0.378591807155484,0.378591807155484
iso_num_56,0.378591807155484,0.378591807155484
country_Malawi,-0.37635254895935266,0.37635254895935266
iso_num_454,-0.3763525489593518,0.3763525489593518
iso_alpha_MWI,-0.37635254895935166,0.37635254895935166
iso_num_36,0.3739812201611875,0.3739812201611875
iso_alpha_AUS,0.3739812201611875,0.3739812201611875
country_Australia,0.3739812201611794,0.3739812201611794
iso_num_250,0.37309820813785205,0.37309820813785205
iso_alpha_FRA,0.373098208137852,0.373098208137852
country_France,0.37309820813784933,0.37309820813784933
iso_num_724,0.371037086591457,0.371037086591457
country_Spain,0.3710370865914569,0.3710370865914569
iso_alpha_ESP,0.37103708659145684,0.37103708659145684
country_Bulgaria,0.36864439627660944,0.36864439627660944
iso_alpha_BGR,0.3686443962766071,0.3686443962766071
iso_num_894,-0.3680085993234113,0.3680085993234113
iso_alpha_ZMB,-0.3680085993234113,0.3680085993234113
country_Zambia,-0.3680085993234108,0.3680085993234108
iso_alpha_DNK,0.3658533181584006,0.3658533181584006
iso_num_208,0.36585331815840055,0.36585331815840055
country_Denmark,0.36585331815840055,0.36585331815840055
iso_alpha_PRI,0.3640942357889658,0.3640942357889658
iso_num_630,0.3640942357889652,0.3640942357889652
country_Puerto Rico,0.3640942357889647,0.3640942357889647
iso_num_300,0.36233009393809174,0.36233009393809174
iso_alpha_GRC,0.3623300939380917,0.3623300939380917
country_Greece,0.36233009393809074,0.36233009393809074
iso_alpha_IRL,0.35881665683430863,0.35881665683430863
iso_num_372,0.3588166568343085,0.3588166568343085
country_Ireland,0.3588166568343085,0.3588166568343085
country_Taiwan,0.35722970851563346,0.35722970851563346
iso_alpha_TWN,0.3572297085156334,0.3572297085156334
iso_num_158,0.3572297085156334,0.3572297085156334
iso_num_858,0.351200002875609,0.351200002875609
iso_alpha_URY,0.351200002875609,0.351200002875609
country_Uruguay,0.35120000287560893,0.35120000287560893
iso_num_180,-0.3467013256600355,0.3467013256600355
iso_alpha_COD,-0.3467013256600353,0.3467013256600353
"country_Congo, Dem. Rep.",-0.3467013256600343,0.3467013256600343
iso_num_826,0.3453806299597532,0.3453806299597532
iso_alpha_GBR,0.34538062995975294,0.34538062995975294
country_United Kingdom,0.3453806299597528,0.3453806299597528
iso_num_148,-0.3421297846004001,0.3421297846004001
country_Chad,-0.34212978460040006,0.34212978460040006
iso_alpha_TCD,-0.34212978460039994,0.34212978460039994
country_Costa Rica,0.3368200905022405,0.3368200905022405
iso_alpha_CRI,0.33682009050223916,0.33682009050223916
iso_num_188,0.336820090502239,0.336820090502239
country_Iceland,0.33212128046110834,0.33212128046110834
iso_alpha_ISL,0.33212128046110717,0.33212128046110717
iso_num_352,0.3321212804611071,0.3321212804611071
iso_num_840,0.3307841127844033,0.3307841127844033
iso_alpha_USA,0.3307841127844033,0.3307841127844033
country_United States,0.3307841127844029,0.3307841127844029
country_New Zealand,0.3307448744936331,0.3307448744936331
iso_num_554,0.3307448744936331,0.3307448744936331
iso_alpha_NZL,0.33074487449363305,0.33074487449363305
iso_num_854,-0.33005323831675176,0.33005323831675176
iso_alpha_BFA,-0.3300532383167517,0.3300532383167517
country_Burkina Faso,-0.33005323831674793,0.33005323831674793
country_Djibouti,-0.3264850923712259,0.3264850923712259
iso_num_262,-0.3264850923712252,0.3264850923712252
iso_alpha_DJI,-0.3264850923712252,0.3264850923712252
iso_num_380,0.31960789473961015,0.31960789473961015
iso_alpha_ITA,0.31960789473961015,0.31960789473961015
country_Italy,0.31960789473960993,0.31960789473960993
country_Burundi,-0.31682695872606087,0.31682695872606087
iso_alpha_BDI,-0.3168269587260597,0.3168269587260597
iso_num_108,-0.3168269587260596,0.3168269587260596
country_Tanzania,-0.3159979545221648,0.3159979545221648
iso_num_834,-0.3159979545221646,0.3159979545221646
iso_alpha_TZA,-0.3159979545221646,0.3159979545221646
iso_num_203,0.31596987974188334,0.31596987974188334
iso_alpha_CZE,0.31596987974188334,0.31596987974188334
country_Czech Republic,0.3159698797418826,0.3159698797418826
"country_Yemen, Rep.",-0.31473324379526085,0.31473324379526085
iso_alpha_YEM,-0.3147332437952608,0.3147332437952608
iso_num_887,-0.3147332437952608,0.3147332437952608
iso_num_116,-0.3095697430045677,0.3095697430045677
country_Cambodia,-0.30956974300456763,0.30956974300456763
iso_alpha_KHM,-0.30956974300456763,0.30956974300456763
country_Cuba,0.30791481692542655,0.30791481692542655
iso_num_192,0.3079148169254263,0.3079148169254263
iso_alpha_CUB,0.30791481692542627,0.30791481692542627
iso_num_705,0.30470731980763976,0.30470731980763976
iso_alpha_SVN,0.3047073198076395,0.3047073198076395
country_Slovenia,0.3047073198076395,0.3047073198076395
iso_num_232,-0.3018360373798618,0.3018360373798618
iso_alpha_ERI,-0.30183603737986175,0.30183603737986175
country_Eritrea,-0.3018360373798612,0.3018360373798612
iso_num_276,0.2875010019485476,0.2875010019485476
iso_alpha_DEU,0.2875010019485476,0.2875010019485476
country_Germany,0.28750100194854744,0.28750100194854744
iso_alpha_HTI,-0.2853924605055936,0.2853924605055936
iso_num_332,-0.28539246050559336,0.28539246050559336
country_Haiti,-0.2853924605055931,0.2853924605055931
iso_alpha_UGA,-0.28284297517351226,0.28284297517351226
iso_num_800,-0.2828429751735122,0.2828429751735122
country_Uganda,-0.2828429751735116,0.2828429751735116
country_Finland,0.27882762373170633,0.27882762373170633
iso_num_246,0.27882762373170517,0.27882762373170517
iso_alpha_FIN,0.27882762373170517,0.27882762373170517
country_Bangladesh,-0.2786871673820124,0.2786871673820124
iso_num_50,-0.2786871673820105,0.2786871673820105
iso_alpha_BGD,-0.2786871673820105,0.2786871673820105
iso_alpha_ARG,0.2719598562152345,0.2719598562152345
iso_num_32,0.27195985621523444,0.27195985621523444
country_Argentina,0.2719598562152341,0.2719598562152341
country_Montenegro,0.26789764428199325,0.26789764428199325
iso_alpha_MNE,0.267897644281993,0.267897644281993
iso_num_499,0.2678976442819928,0.2678976442819928
iso_alpha_KOR,0.2676263448434009,0.2676263448434009
iso_num_410,0.26762634484340087,0.26762634484340087
country_Liberia,-0.2670267812883331,0.2670267812883331
iso_alpha_LBR,-0.26702678128833246,0.26702678128833246
iso_num_430,-0.26702678128833246,0.26702678128833246
country_Swaziland,-0.2657758444727993,0.2657758444727993
iso_alpha_SWZ,-0.2657758444727983,0.2657758444727983
iso_num_748,-0.2657758444727983,0.2657758444727983
iso_num_703,0.2635859100783147,0.2635859100783147
iso_alpha_SVK,0.2635859100783147,0.2635859100783147
country_Slovak Republic,0.2635859100783146,0.2635859100783146
country_Croatia,0.2608572548230052,0.2608572548230052
iso_num_191,0.260857254823003,0.260857254823003
iso_alpha_HRV,0.26085725482300287,0.26085725482300287
country_Bahrain,0.2596200693910209,0.2596200693910209
iso_alpha_BHR,0.2596200693910169,0.2596200693910169
iso_num_48,0.25962006939101673,0.25962006939101673
iso_num_204,-0.2556103285980709,0.2556103285980709
iso_alpha_BEN,-0.25561032859807087,0.25561032859807087
country_Benin,-0.2556103285980673,0.2556103285980673
iso_num_620,0.25514383767699045,0.25514383767699045
country_Portugal,0.25514383767699034,0.25514383767699034
iso_alpha_PRT,0.25514383767699017,0.25514383767699017
country_Madagascar,-0.2532558110575972,0.2532558110575972
iso_num_450,-0.2532558110575969,0.2532558110575969
iso_alpha_MDG,-0.25325581105759687,0.25325581105759687
country_Jamaica,0.25253890358227304,0.25253890358227304
iso_num_388,0.2525389035822726,0.2525389035822726
iso_alpha_JAM,0.2525389035822724,0.2525389035822724
iso_alpha_LBN,0.25198223269873266,0.25198223269873266
iso_num_422,0.25198223269873266,0.25198223269873266
country_Lebanon,0.251982232698732,0.251982232698732
iso_num_120,-0.24920993973503597,0.24920993973503597
iso_alpha_CMR,-0.24920993973503588,0.24920993973503588
country_Cameroon,-0.2492099397350341,0.2492099397350341
iso_alpha_REU,0.24359107345482062,0.24359107345482062
iso_num_638,0.24359107345482062,0.24359107345482062
country_Reunion,0.24359107345481948,0.24359107345481948
country_Lesotho,-0.2400255825998471,0.2400255825998471
iso_num_426,-0.24002558259984674,0.24002558259984674
iso_alpha_LSO,-0.24002558259984674,0.24002558259984674
iso_alpha_CIV,-0.23620785453636087,0.23620785453636087
iso_num_384,-0.23620785453636084,0.23620785453636084
country_Cote d'Ivoire,-0.23620785453635984,0.23620785453635984
iso_alpha_NPL,-0.2358724973047788,0.2358724973047788
